,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
5987,Closed535,5.41,1381,13.34,19.59,3.4,36.17
6021,Coach577,-1.94,502,14.17,-19.32,2.4,30.77
6030,cobramacho,0.97,707,12.0,6.86,2.67,32.0
6089,Colt_BLR,0.73,784,4.74,4.66,1.29,29.03
6093,com3_truise,18.02,1424,19.04,63.27,2.49,54.28
6103,comptonBL,20.89,2952,16.58,35.38,2.59,49.51
6114,conej,78.03,32294,16.27,12.08,1.32,33.61
6147,coolDadJimbo,6.18,2793,17.9,11.06,1.2,29.66
6148,coolfire10,2.88,7535,19.44,1.91,1.95,43.46
6188,Cornel Mihai,15.79,5917,11.57,13.34,2.09,40.03
6190,cornel_IATOT,4.79,2405,14.93,9.96,1.22,33.65
6272,cr@sh test,58.87,11488,17.18,25.62,2.85,47.88
6282,craigdch54,-9.9,3090,15.22,-16.02,6.21,59.59
6314,CrazyyParis,-4.45,10264,12.74,-2.17,1.53,33.13
6392,CrookedBadge,3.98,3778,14.42,5.27,1.57,36.25
6417,Crushpad,13.22,6439,17.35,10.27,2.63,52.58
6461,ctisofiasi_ro,1.05,910,19.96,5.77,1.65,40.63
6465,ctrbyfn,-14.64,2543,10.1,-28.78,0.67,20.67
6493,cunen woret,6.89,5109,9.97,6.74,2.73,47.76
6498,cups00013,2.79,5484,14.96,2.54,1.57,38.42
6522,cyberman35,3.88,6939,17.16,2.8,1.76,41.71
6535,CZ_DDavid,-11.4,4489,6.52,-12.7,2.25,34.26
6556,d.moura88,29.58,14489,10.53,10.21,3.79,51.45
6626,daemann,-8.4,1522,19.48,-27.6,1.65,42.76
6656,DaKeinho,3.86,2421,18.19,7.97,1.95,41.12
6743,Dani_90x,5.61,1003,15.58,27.97,2.07,44.62
6745,DaniBerg05,5.47,1056,12.54,25.9,3.95,48.08
6751,Daniel-San775,5.61,1210,13.81,23.18,1.56,43.38
6826,danm98,-8.99,1204,19.17,-37.33,2.28,54.31
6848,Danonino888,-0.91,6287,17.96,-0.72,0.6,18.54
6850,DanRussel,6.32,1793,12.34,17.62,1.8,35.44
6911,DarklyBlaze,6.13,826,15.33,37.11,2.31,50.85
6921,darksoulsIII,-1.05,609,12.01,-8.62,2.52,48.74
6927,daro506,9.72,5423,13.97,8.96,3.11,46.53
6942,das1969,-11.9,2552,15.01,-23.32,2.91,48.31
6983,davegoa,12.36,2451,12.75,25.21,1.89,35.61
7046,Dawid 0_o,11.59,1519,16.47,38.15,1.73,51.2
7072,dbmax77,-6.19,553,18.63,-55.97,2.32,39.46
7087,dcorlatescu,1.04,765,19.42,6.8,1.65,34.92
7090,DD-Plumps,-5.07,1315,12.19,-19.28,5.93,46.63
7097,dddeeeggg,-0.69,617,18.18,-5.59,2.32,48.17
7225,deileon,-3.04,8023,13.63,-1.89,1.09,29.64
7235,dejkuz,-0.67,2350,9.18,-1.43,3.11,52.02
7244,dekooo3,22.92,7260,14.42,15.79,1.4,38.43
7274,Demakov 64,-1.0,872,16.69,-5.73,1.74,35.33
7280,DEMIAN770,32.9,9812,19.35,16.77,1.8,36.35
7281,Demidov V.S.,-0.27,738,7.35,-1.83,1.63,36.9
7379,dentony2245,-2.4,632,14.15,-18.99,3.42,50.0
7380,DenWhite89,5.02,2606,15.36,9.63,1.55,35.27
7383,DenyLi,15.19,3251,15.94,23.36,1.78,36.6
7394,Der Nator,1.3,615,9.64,10.57,3.18,41.18
7405,DerAlte123,1.26,3214,18.56,1.96,1.63,39.75
7420,desdinova13,61.32,27246,19.86,11.25,2.35,42.15
7456,Devil'sCar,7.32,10680,12.81,3.43,3.12,43.17
7477,dfgp593,6.28,1008,16.07,31.15,1.75,40.66
7518,dibidibidis,5.53,4514,18.17,6.13,2.76,51.14
7596,DiM8888,12.54,1277,17.36,49.1,6.17,54.62
7600,dima.com1990,3.12,1569,18.87,9.94,4.07,55.11
7621,Dimarik8686,-0.68,644,10.9,-5.28,2.33,53.33
7655,dimgor,2.86,1581,9.85,9.04,2.98,50.19
7669,dimitriusDZ,10.33,10729,18.76,4.81,1.98,36.92
7679,DIMON 1514,-0.05,1705,13.55,-0.15,1.04,23.23
7681,dimon rosto7,19.73,12788,17.13,7.71,0.84,26.21
