,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
227,17Costy17,0.04,18,27.78,11.11,0.75,30.0
228,17d17g17,11.79,1370,34.26,43.03,0.96,33.38
229,17Irish247,-2.0,48,43.75,-208.33,4.5,64.29
230,17memento10,0.15,28,10.71,26.79,0.5,25.0
231,183cm,-0.24,97,32.29,-12.37,10.67,60.38
232,187Flosse,-8.89,5509,33.32,-8.07,1.75,44.97
233,187FTW,-1.43,2,100.0,-3575.0,0.0,0.0
234,18Deano89,-0.02,1,0.0,-100.0,0.0,0.0
235,18Moro,1.3,339,29.79,19.17,1.64,47.67
236,18poker04,-0.04,7,42.86,-28.57,0.0,0.0
237,19-WiLLi-86,0.95,5,40.0,950.0,4.0,80.0
238,190919691980,-5.07,169,54.49,-150.0,1.69,42.98
239,1909Nic,5.16,47,63.83,548.94,2.0,57.69
240,1956mitchx,-8.12,379,50.66,-107.12,0.84,31.69
241,1960bebe,-0.09,29,25.0,-15.52,0.5,28.57
242,1960Robert,-3.74,117,55.56,-159.83,1.24,44.83
243,19680418,0.87,82,73.17,53.05,1.76,52.38
244,1968eddie1968,-4.39,289,69.44,-75.95,1.35,34.84
245,19720312,-0.91,45,24.44,-101.11,6.0,60.0
246,1974437,-2.74,91,45.05,-150.55,5.6,50.0
247,1978838,-0.93,607,47.11,-7.66,2.15,44.47
248,1978baz,6.24,621,31.55,50.24,1.11,36.6
249,1979hegi1979,-0.28,3,66.67,-466.67,3.0,60.0
250,1980evgenii,0.62,14,28.57,221.43,0.75,37.5
251,1981nata,-0.83,15,40.0,-276.67,1.5,33.33
252,1982jojo,-1.56,9,44.44,-866.67,,60.0
253,1985lexa30,-1.6,14,28.57,-571.43,1.0,50.0
254,1986supremo,-2.01,542,53.35,-18.54,1.29,31.37
255,1990 M.E.A,1.7,384,46.68,22.14,1.52,43.04
256,1990Chciuk,-2.0,11,54.55,-909.09,2.0,50.0
257,19912013,3.25,43,65.12,377.91,14.0,66.67
258,1994337,-0.71,112,13.51,-31.7,1.83,40.74
259,1996941,-0.52,11,72.73,-236.36,0.29,18.18
260,1998199821,-0.87,18,93.75,-241.67,1.5,37.5
261,19albars89,-15.53,2280,48.56,-34.06,0.91,32.95
262,19Aleks22,-0.45,26,50.0,-86.54,1.0,40.0
263,19Aleksandr877,-2.5,230,84.35,-54.35,1.77,50.66
264,19Alexmax91,-2.72,442,39.36,-30.77,5.77,66.54
265,19Artemka92,8.52,1156,29.16,36.85,1.93,48.55
266,19Dima87,-0.77,3530,43.81,-1.09,1.25,32.84
267,19dobriy83,-0.54,18,55.56,-150.0,4.5,60.0
268,19Eagleone75,0.76,55,40.0,69.09,1.3,36.11
269,19emmanuel84,-0.8,4,50.0,-1000.0,0.0,0.0
270,19fanny83,-1.2,7,85.71,-857.14,0.57,28.57
271,19Joachim64,-0.94,6,83.33,-783.33,1.5,56.25
272,19Joby81,-1.63,35,42.86,-232.86,1.6,38.1
273,19JP,0.99,14,71.43,353.57,1.5,37.5
274,19JP95,-0.11,13,7.69,-42.31,0.0,0.0
275,19kam38,-2.47,164,54.27,-75.3,3.34,64.64
276,19KoLoBoK86,-1.6,21,42.86,-380.95,2.0,50.0
277,19Kpot95,-0.47,15,40.0,-156.67,7.0,77.78
278,19Leha87,0.0,1,0.0,0.0,0.0,0.0
279,19Mixik92,-0.14,2,100.0,-350.0,0.0,0.0
280,19MONCLER88,0.38,59,71.19,32.2,2.58,46.97
281,19NextGen61,-0.57,48,29.17,-59.37,3.5,41.18
282,19pyroshow53,-2.82,75,49.33,-188.0,1.33,31.37
283,19Vladimir83,-1.5,1230,23.56,-6.1,1.99,45.94
284,19win83,-0.6,30,55.17,-100.0,2.0,44.44
285,1:4ogo-go,0.35,316,19.11,5.54,1.82,46.27
286,1___Ben45809,-0.02,1,0.0,-100.0,0.0,0.0
287,1_goodmenD,-2.03,53,13.46,-191.51,7.0,53.85
288,1_MaNTeR_1,-26.68,2265,71.74,-58.9,1.67,44.3
289,1achim,-1.6,16,93.75,-500.0,2.0,61.54
290,1Asthma1,61.25,17330,13.45,17.67,1.93,34.42
