"Player","My C Won","Hands","VPIP","BB/100"
"SOTY94","-$27.61","1,705","20.44","-32.39"
"soulm8s1231","-$11.60","2,256","25.09","-10.28"
"spabramov","-$11.53","1,185","34.30","-19.46"
"Sparky1337s","-$8.27","1,401","18.74","-11.81"
"spartanP999","-$24.83","2,152","22.87","-23.08"
"spence__504","-$11.33","525","24.95","-43.16"
"Spendalo","-$10.00","851","26.54","-23.50"
"Sposito1973","-$158.02","2,446","55.26","-129.21"
"steban151","-$7.06","1,534","37.68","-9.20"
"Stormy1979","-$79.23","6,096","35.68","-25.99"
"str8chase798","-$8.69","835","39.49","-20.81"
"striko1144","-$202.66","5,482","58.95","-73.94"
"Suq Madiq lol","-$18.20","744","21.41","-48.92"
"sveMat770","-$6.26","1,066","22.02","-11.74"
"svfree","-$1.69","520","18.18","-6.50"
"SVINDLER50","-$44.99","5,964","23.92","-15.09"
"svoboda19980","-$20.03","967","36.98","-41.43"
"switalsky","-$15.83","714","21.22","-44.34"
"syk819kf","-$6.96","593","16.30","-23.47"
"SylwekGPoker","-$65.91","1,457","53.44","-90.47"
"SZEDLACSEK19","-$4.26","1,580","36.59","-5.39"
"taobaibai999","-$3.41","1,352","38.74","-5.04"
"tati_tao1992","-$72.17","4,495","20.88","-32.11"
"Tavrus32","-$10.01","3,995","18.47","-5.01"
"TeamM666","-$8.09","519","61.60","-31.18"
"TECTO_ekv","-$8.83","519","18.71","-34.03"
"Teichlosen","-$4.02","781","14.60","-10.29"
"tekuez","-$21.79","1,146","24.91","-38.03"
"The Long Bluff","-$30.40","710","30.82","-85.63"
"The_Reiver","-$3.08","2,837","6.60","-2.17"
"TheBlade8525","-$33.20","7,896","50.35","-8.41"
"thegreatcurve","-$13.94","1,029","20.12","-27.09"
"TheoTate","-$23.15","2,627","13.52","-17.62"
"ThePackers1969","-$14.93","955","20.27","-31.27"
"thetaxman14","-$8.61","1,625","27.96","-10.60"
"TheWildClassic","-$55.36","845","43.15","-131.03"
"ThomasSauve1","-$6.40","854","23.14","-14.99"
"thyrion78","-$33.76","1,288","27.88","-52.42"
"Tiewire","-$1.70","2,493","15.17","-1.36"
"tigerzz21","-$22.81","596","74.15","-76.54"
"TIGstriker75","-$5.19","611","32.28","-16.99"
"Tiikeri136","-$12.51","701","40.78","-35.69"
"Til_T620","-$1.28","788","9.20","-3.25"
"TilTheEnd982","-$10.60","6,070","22.26","-3.49"
"Tinckiwincki","-$12.59","932","19.61","-27.02"
"tm-online","-$19.42","4,246","9.71","-9.15"
"Tom55555666666","-$19.92","886","20.66","-44.97"
"Tonymacc2k1","-$27.95","621","27.48","-90.02"
"TonyPlayer75","-$10.93","680","35.06","-32.15"
"toto2478","-$16.14","9,119","14.49","-3.54"
"totyi","-$27.36","2,265","28.12","-24.16"
"tpm56","-$22.67","504","37.50","-89.96"
"Trance228","-$0.01","514","22.40","-0.04"
"Triklazan","-$17.09","1,159","32.02","-29.49"
"trtp91","-$20.77","1,296","12.26","-32.05"
"ttwety","-$4.72","1,034","13.74","-9.13"
"twitty31","-$14.68","806","25.73","-36.43"
"Uchka","-$34.89","2,970","27.39","-23.49"
"UiriQuodGaia","-$12.10","742","25.14","-32.61"
"ulia75432","-$25.56","1,476","32.35","-34.63"
"Ulika666","-$44.46","928","30.00","-95.82"
"UncleSam601","-$6.28","1,844","15.33","-6.81"
"URAL_96_KU","-$13.63","535","43.31","-50.95"
"user1258","-$25.48","611","28.38","-83.40"
"v123vk","-$7.82","9,614","12.80","-1.63"
"vadik 12345","-$6.14","597","36.89","-20.57"
"Vadim Gomel","-$7.98","1,967","17.82","-8.11"
"Vainamoinenn","-$1.48","2,426","22.43","-1.22"
"ValerkaO_o","-$26.18","3,584","14.40","-14.61"
"Valya1903","-$7.04","700","23.31","-20.11"
"VascoSerg","-$33.03","1,333","14.83","-49.56"
"vicotry9","-$20.59","6,297","20.66","-6.54"
"vietalva","-$1.98","1,862","19.82","-2.13"
"VilpPS","-$16.11","502","15.49","-64.18"
"ViruS001313","-$36.46","662","27.22","-110.15"
"VIST0988","-$4.58","1,096","28.55","-8.36"
"vitornut","-$2.69","1,082","29.43","-4.97"
"Vjuk87","-$12.57","5,583","13.56","-4.50"
"Vlk56","-$13.65","1,518","35.97","-17.98"
"vnik71","-$4.82","694","32.40","-13.89"
"volodymyrbo","-$9.56","532","23.50","-35.94"
"voovochka55","-$16.01","1,975","18.61","-16.21"
"VTN*81","-$5.39","1,497","34.95","-7.20"
"vyva1978","-$0.12","862","9.98","-0.28"
"w4lk3rrus","-$17.05","1,092","38.85","-31.23"
"wachpatient","-$2.41","1,219","37.18","-3.95"
"wackster007","-$41.40","7,207","9.84","-11.49"
"wagnerredpig","-$0.20","1,082","30.21","-0.37"
"Walkel","-$41.34","1,435","17.32","-57.62"
"weds59","-$20.44","829","29.96","-49.31"
"winterf351","-$0.26","882","13.20","-0.59"
"wkdmanwkd","-$4.32","1,059","47.23","-8.16"
"Wol4ara73","-$6.72","2,886","17.92","-4.66"
"WQQQW","-$18.87","5,131","18.71","-7.36"
"WrthTheDrive","-$12.15","789","22.91","-30.80"
"wulle64","-$16.80","591","40.68","-56.85"
"X.T. 5370","-$1.12","604","21.59","-3.71"
"xhepi823","-$19.16","571","76.90","-67.11"
"XHerrTUMNUSX","-$10.22","4,540","25.02","-4.50"
"xxxxxxxx_br","-$1.88","606","14.45","-6.20"
"Yuralema","-$18.08","1,592","15.28","-22.71"
"yustas82","-$23.67","905","62.26","-52.31"
"yxyz.drop","-$0.47","634","21.02","-1.48"
"ZApLucky","-$10.36","627","9.66","-33.05"
"zecrai","-$67.66","983","47.90","-137.66"
"zioberko6","-$22.62","638","31.70","-70.91"
"ZLOY792","-$5.96","1,740","18.91","-6.85"
"Zm4best","-$10.08","647","20.06","-31.16"
"zoker6900","-$160.22","2,969","52.47","-107.93"
"ZonarioJerico","-$0.28","650","30.59","-0.86"
"Zorro1361","-$5.50","783","23.58","-14.05"
"Zuhiva","-$14.75","597","32.94","-49.41"
"Zuzu1717","-$0.90","1,350","19.49","-1.33"
"zver5466","-$46.42","4,841","35.53","-19.18"
"zvezda28","-$5.78","626","23.75","-18.47"
"Zzzanderman","-$41.77","10,388","17.51","-8.04"
