,Player,My C Won,Hands,VPIP,BB/100,Total AF,Total AFq
11165,gnus70,-2.48,761,44.69,-16.29,1.23,36.55
11187,gochoman111,-2.73,969,41.48,-14.09,1.07,29.14
11235,Gold-Tern,0.22,1206,51.09,0.91,2.13,48.71
11299,Goodspeed434,-33.92,2257,49.67,-75.14,3.48,55.59
11303,google_8644,26.64,3028,41.86,43.99,4.49,51.56
11317,goran1964,-6.25,1050,44.47,-29.76,0.65,19.12
11323,Gordon Bombay24,6.4,1283,46.44,24.94,1.24,39.31
11346,Goshan777777,-10.59,532,48.77,-99.53,3.42,60.4
11368,GPANTANEIRO,2.41,2065,46.06,5.84,0.59,22.54
11370,GPerser,-5.07,1689,43.62,-15.01,1.09,34.34
11371,gpiu10,-11.33,1163,46.85,-48.71,1.78,43.44
11387,Graf697,-13.83,1092,40.2,-63.32,2.58,49.32
11444,Green7Dragon,-3.59,1195,46.55,-15.02,1.09,34.18
11455,GreenV1king,-18.1,501,71.29,-180.64,2.03,47.16
11486,greyfox5310,-25.38,3565,42.31,-35.6,0.44,20.33
11488,greyy88,-12.21,778,64.08,-78.47,1.49,43.33
11533,GrooshBadoosh,-10.93,2096,43.23,-26.07,2.3,53.01
11542,Grow-san,-33.64,1015,56.96,-165.71,3.01,61.45
11582,gtbau,-21.58,775,55.18,-139.23,1.86,49.1
11610,gudspeed,-9.07,1313,43.64,-34.54,1.1,31.92
11670,guimaraes_g,-11.05,829,60.0,-66.65,1.67,38.89
11671,Guina_J471,-0.46,855,48.7,-2.69,1.54,36.55
11711,Guntzington,-15.37,1177,56.89,-65.29,2.84,46.59
11751,gustavofonte,-17.99,637,64.18,-141.21,1.61,44.55
11812,H F T B 55,-28.41,665,77.64,-213.61,1.55,43.76
11815,h-Igor2008,-4.61,917,56.72,-25.14,1.26,38.38
11941,hancavova,5.48,1221,41.4,22.44,3.47,61.47
11956,Hannelore900,-24.7,1500,54.52,-82.33,0.74,28.5
12043,haseeb432,-2.35,718,51.82,-16.36,1.66,39.4
12061,HattMudson,1.31,646,45.96,10.14,2.7,58.04
12072,Havo69,-24.07,2102,44.56,-57.25,0.55,17.98
12140,HeidyFrancoP,-3.29,736,42.59,-22.35,1.48,36.45
12180,helysquin,-5.99,643,59.47,-46.58,1.96,43.65
12221,heometri,4.12,521,57.88,39.54,1.68,42.36
12256,hesc a.,19.61,11846,45.89,8.28,1.94,39.39
12289,Hibitox,-8.23,551,43.88,-74.68,2.46,47.47
12301,Higashiyama,-8.77,514,56.08,-85.31,2.45,48.96
12332,Hipka2013,-0.23,1349,72.81,-0.85,1.14,35.31
12346,HitarPetar911,10.09,524,63.51,96.28,1.74,44.73
12369,hmpfilho,-9.22,564,46.07,-81.74,1.19,35.74
12375,hnqMONSTER,-0.53,802,48.75,-3.3,2.13,47.3
12377,ho_yee84,-12.71,730,71.66,-87.05,2.21,45.84
12400,HogieFlare,-4.86,1433,44.65,-16.96,2.58,49.27
12426,Hollywoodbr1995,-11.85,523,43.87,-113.29,2.53,48.16
12437,Holzi7777,3.35,632,44.9,26.5,0.81,29.77
12448,honax,-1.97,626,51.93,-15.73,1.95,48.42
12465,Hookedmeone,17.17,927,78.15,92.61,1.24,35.8
12469,HOOLIGAN8881,-13.24,754,58.16,-87.8,1.17,37.8
12531,hperie,-5.26,726,59.53,-36.23,1.18,31.96
12577,hugo6062,-6.84,1057,57.79,-32.36,1.7,35.99
12587,hugues118,2.19,1085,42.84,10.09,1.92,44.48
12704,IamChappers,-12.57,579,42.81,-108.55,1.84,49.58
12726,IBULAEV,-9.68,607,71.26,-79.74,2.32,52.75
12728,icand0,-6.69,501,46.59,-66.77,1.49,30.14
12802,ignalopez096,0.6,1294,41.29,2.32,2.1,47.5
12879,ikai78,-9.87,2216,45.65,-22.27,2.31,53.7
12906,ilias1950,7.9,801,49.94,49.31,1.53,42.12
12915,Iliy2001,12.02,1083,46.7,55.49,3.23,55.64
12932,IlovePoker9089,-8.53,911,50.28,-46.82,4.65,58.95
12938,Ilvinaradikovna,-19.52,776,60.92,-125.77,2.04,56.05
12956,ImB2009,-14.93,567,55.04,-131.66,2.69,59.75
13025,inglenook194,-9.24,632,51.51,-73.1,2.62,55.12
13076,ioaann67,-18.06,681,58.05,-132.6,0.55,19.63
13133,irishdun,-8.43,725,43.43,-58.14,2.48,49.22
13146,Ironmaiden1992,-3.19,688,42.21,-23.18,4.39,55.04
13173,Isateosegunda,-5.54,1783,44.56,-15.54,2.18,44.99
13236,ivan88850,0.52,1492,60.18,-0.47,2.54,57.33
13283,iwannabe29,-5.03,692,53.14,-36.34,1.23,32.0
13349,Jaadenn,-21.0,663,76.18,-158.37,1.47,45.36
13380,jackeldest,-0.16,1075,50.05,-0.74,2.7,47.62
13410,jacobostar4,0.47,838,44.47,2.8,0.98,33.81
13435,jairocarvajal87,-1.96,559,46.32,-17.53,2.77,41.67
13442,jakeblues7,-25.95,1080,58.74,-120.14,0.64,26.68
13448,Jaketoo15,-19.43,928,44.9,-104.69,2.02,52.06
13451,jaki loku,0.68,1693,41.26,2.01,2.0,46.22
13540,january777,-1.99,857,51.77,-11.61,1.81,46.87
13556,jarbasllepi,-10.4,535,65.35,-97.2,1.06,34.09
13665,JBucardo,-3.95,590,45.24,-33.47,2.54,55.76
13703,Jdthibodeau,5.18,673,40.63,38.48,1.67,43.73
13716,jeankamilo,-5.06,741,54.32,-34.14,1.04,37.0
13721,JEANXITER,-17.48,619,53.67,-141.2,1.89,48.15
13741,jeffke007lauwe,-7.28,569,61.8,-63.97,0.61,29.94
13775,Jenda PS,-5.94,1049,42.05,-28.31,0.77,24.58
13788,Jer(11:11)(x),-5.36,1448,46.7,-18.51,2.4,49.95
13857,jgomes77,4.09,571,64.04,35.81,2.4,46.19
13859,jgym,-17.85,537,43.18,-166.2,1.63,46.75
13884,JHOUST1X2,-9.57,863,51.17,-55.45,1.47,49.48
13939,Jimy221,-7.47,980,44.59,-38.11,6.24,63.62
13951,jixufixu,-24.15,1112,83.94,-108.59,2.05,50.94
13995,jl7carvalho,-4.34,1048,57.17,-20.71,1.02,28.76
14050,joaomattosalves,9.1,890,42.84,48.31,2.98,55.84
14106,joeyyu14,-7.44,760,66.71,-48.95,1.56,39.33
14114,JogiFull,-2.7,1016,40.93,-13.29,3.36,56.38
14174,JohnnyDaley,-11.99,650,60.8,-92.23,1.17,32.09
14207,JojoMende996,-13.61,501,60.4,-135.83,1.87,49.77
14210,jok broly,-6.99,579,42.43,-60.36,0.86,30.03
14228,JokerWizard,-10.76,1513,46.05,-35.56,3.97,64.77
14328,jorgemolga,-18.42,1552,46.46,-59.34,0.77,27.84
14343,jose nasser,-12.0,1166,58.0,-51.46,1.7,41.06
14418,Jpoker2day,-5.6,961,58.81,-29.14,1.49,44.88
14427,Jr.storn89,4.63,506,54.65,45.75,2.93,44.75
